k,time
89,8002637
89,7854572
89,7859542
89,7866100
89,7989183
89,7872815
89,7838942
89,7915236
89,7940572
89,7834740
89,7930134
89,7968118
89,8003592
89,7899041
89,7930540
89,7931971
89,7945367
89,7867906
89,7869307
89,7996859
90,7846354
90,7897364
90,7853402
90,8001777
90,7885410
90,7911497
90,7956009
90,7952304
90,7885412
90,7879596
90,7895277
90,8033841
90,8031975
90,7888411
90,7914440
90,7893128
90,7976459
90,7888356
90,7942062
90,7908268
91,7891192
91,8004374
91,8396550
91,7850242
91,7865607
91,8016999
91,7894485
91,7846034
91,7909156
91,7939307
91,7959243
91,7825642
91,7885499
91,7984534
91,7890974
91,7871837
91,7878914
91,7993190
91,7879787
91,7955554
92,7835356
92,7953239
92,7866391
92,7881775
92,7936099
92,8044252
92,7869408
92,7790555
92,7958485
92,7995203
92,7897778
92,7904449
92,7962162
92,7934252
92,7948161
92,7900963
92,8005303
92,7884605
92,7968942
92,7883561
93,7943885
93,7866347
93,7940334
93,7913894
93,7899064
93,7819173
93,7880306
93,7946270
93,7938678
93,7861068
93,7861455
93,7842833
93,7850398
93,7856100
93,7835089
93,7849516
93,7843387
93,7853260
93,7839002
93,7838690
94,7846966
94,7853341
94,7838493
94,7842808
94,7873272
94,7844965
94,8006474
94,7931346
94,7847852
94,7883715
94,7976552
94,7998384
94,7855742
94,7846133
94,8013749
94,7924572
94,7889892
94,7762903
94,7881996
94,8043885
95,8002221
95,7899168
95,7974790
95,7898885
95,7951072
95,7855655
95,7896295
95,7865927
95,7899656
95,7892387
95,7852937
95,7787163
95,7826394
95,7930702
95,7877367
95,7901896
95,7855964
95,8028314
95,7965378
95,7851721
96,7885964
96,7960988
96,7882332
96,7846170
96,7829146
96,7975319
96,7831806
96,7896953
96,7942647
96,7939981
96,7904026
96,7879060
96,8034593
96,7872736
96,7926718
96,7823617
96,7977322
96,7986951
96,7926183
96,7887876
97,7981723
97,8016239
97,7862055
97,7974339
97,7872130
97,7843656
97,7984869
97,7962271
97,7907877
97,7866464
97,7895590
97,8015238
97,7877970
97,7779629
97,7850884
97,7961541
97,7848617
97,7899868
97,7984956
97,7959796
98,7889441
98,7811838
98,7978013
98,7992825
98,7867394
98,7900855
98,7978745
98,7945485
98,7875781
98,7901573
98,8093547
98,7932284
98,7876715
98,7834868
98,8050056
98,7941328
98,7880750
98,7912087
98,7994152
98,7928910
99,7959138
99,8003281
99,7937863
99,7909447
99,7937886
99,7980028
99,7821011
99,7850031
99,7887135
99,8006980
99,7939938
99,7840659
99,7847341
99,7933425
99,7884313
99,7885482
99,7852788
99,7938967
99,7984693
99,7915691
100,7941504
100,7948268
100,7876877
100,7906842
100,8068205
100,7992495
100,7821211
100,7862476
100,8031712
100,7913758
100,7875464
100,7873381
100,7970170
100,7851227
100,7866408
100,7833163
100,7980921
100,7861942
100,7947777
100,7894822
101,7930347
101,7846501
101,7832488
101,7952081
101,7837698
101,7924305
101,7867345
101,7980143
101,7871838
101,7871543
101,7894298
101,7938913
101,7996887
101,7815969
101,7868934
101,7839946
101,7841798
101,7828171
101,7861673
101,7848834
102,7886301
102,7907281
102,8015061
102,7898377
102,8004860
102,7798518
102,7938874
102,7786139
102,7912781
102,7840059
102,7851362
102,7916605
102,7808057
102,7940181
102,8008517
102,7942155
102,7908326
102,7897186
102,7939459
102,7946660
103,7846799
103,7932148
103,7895803
103,7862875
103,7918938
103,8121562
103,7864003
103,7989582
103,7875936
103,7957563
103,7936105
103,7918011
103,7900085
103,7983371
103,7929730
103,7856201
103,7841873
103,7847494
103,7850542
103,7848334
104,7843547
104,7836397
104,7867192
104,7847302
104,7857927
104,7844828
104,7852272
104,7858913
104,7847722
104,7894759
104,7843184
104,7851883
104,7854341
104,7825724
104,7857120
104,7986811
104,7912242
104,7924923
104,7752344
104,8014235
105,7920502
105,7928147
105,7789641
105,8033333
105,7916112
105,7858032
105,7812342
105,8012713
105,7858141
105,7903150
105,7966129
105,7936860
105,7873544
105,7927029
105,7952359
105,7949415
105,7801112
105,7874636
105,7951986
105,7979168
106,7894343
106,7863754
106,7970915
106,7909655
106,7913658
106,7820365
106,7949049
106,7971450
106,7943165
106,7839191
106,7933728
106,7895540
106,8036275
106,7930334
106,7948878
106,7877246
106,7884934
106,7889071
106,7924094
106,7938209
107,7913250
107,7989158
107,7965435
107,7900672
107,7796801
107,7970792
107,7915855
107,7981420
107,7854363
107,7965048
107,7873276
107,7877095
107,7994562
107,7943471
107,7853067
107,7864564
107,7912815
107,7956339
107,7901224
107,7855657
108,8075252
108,7936574
108,7912428
108,7819895
108,7970304
108,7893497
108,7882615
108,7843275
108,7922159
108,7974072
108,7986781
108,8114316
108,7921587
108,7830190
108,7833121
108,8038548
108,7930735
108,7784515
108,7805126
108,8075290
109,7889764
109,7826387
109,7853334
109,7947312
109,7932066
109,7910984
109,7936514
109,7984327
109,7936341
109,7953418
109,7996648
109,8039620
109,7859013
109,7924102
109,8011294
109,8000061
109,7832606
109,7872953
109,8066796
109,8077627
110,8003424
110,7855780
110,8021302
110,7989099
110,7978839
110,7884974
110,7892569
110,7982135
110,8010110
110,7995021
110,7852086
110,7889240
110,7880014
110,8039278
110,7898565
110,7848727
110,7954533
110,7980299
110,7849522
110,7840772
111,7885299
111,7998167
111,7992382
111,7964212
111,8001822
111,7908130
111,7902080
111,7918220
111,7961425
111,7823727
111,7883937
111,7890983
111,8006658
111,7939343
111,7913459
111,7913925
111,8054604
111,7870888
111,7865771
111,7865828
112,7973720
112,7893729
112,7889557
112,7899946
112,7924210
112,7942241
112,7932442
112,7912583
112,7954009
112,7888643
112,7867691
112,7964447
112,7821135
112,7836951
112,7951748
112,7949796
112,7888178
112,7908776
112,7920305
112,7931700
113,7819679
113,7950864
113,8012574
113,7926612
113,7965604
113,7909126
113,7976670
113,7832642
113,7953690
113,7865076
113,7928052
113,7868566
113,7863398
113,7906845
113,7913745
113,7910767
113,7859772
113,8014028
113,7979210
113,7940678
114,7905898
114,7908327
114,7890437
114,7853793
114,7850376
114,7851933
114,7843051
114,7854596
114,7843773
114,7849331
114,7833563
114,7851233
114,7846500
114,7849038
114,7845578
114,7857817
114,7851380
114,7852095
114,7850866
114,7849704
115,7828088
115,8008983
115,7853633
115,7837452
115,7899299
115,7954268
115,7850700
115,7800607
115,7919884
115,7936066
115,7887287
115,7857644
115,8021044
115,7890481
115,7878864
115,7923464
115,8036718
115,7973116
115,7885411
115,7940626
116,7955421
116,7872998
116,7834849
116,7836876
116,7840372
116,7838811
116,7878195
116,8028615
116,7976927
116,7912456
116,7823122
116,7916660
116,7831296
116,7902662
116,7966404
116,7938762
116,7838810
116,7946481
116,7969626
116,7968280
117,7881473
117,7866765
117,8013477
117,7967980
117,7850273
117,7756396
117,8041593
117,7889793
117,7913812
