alpha,k,time
1,94,426199
1,94,417888
1,94,418613
1,94,418092
1,94,418926
1,94,423286
1,94,444114
1,94,418457
1,94,418553
1,94,419132
1,94,418227
1,94,418652
1,94,418883
1,94,418333
1,94,418424
1,95,430096
1,95,418247
1,95,427466
1,95,419332
1,95,417870
1,95,417905
1,95,418607
1,95,418651
1,95,418560
1,95,432593
1,95,418958
1,95,418888
1,95,418421
1,95,418178
1,95,417693
1,95,421101
1,95,418222
1,95,418876
1,95,418138
1,95,435307
1,96,418101
1,96,418691
1,96,418860
1,96,423385
1,96,419533
1,96,418920
1,96,418663
1,96,418847
1,96,433204
1,96,418442
1,96,427071
1,96,419103
1,96,418790
1,96,418783
1,96,441515
1,96,418729
1,96,418366
1,96,428662
1,96,422658
1,96,418099
1,97,418683
1,97,448468
1,97,417660
1,97,418481
1,97,419069
1,97,424275
1,97,418751
1,97,432373
1,97,418378
1,97,418509
1,97,428459
1,97,419190
1,97,424300
1,97,418388
1,97,440417
1,97,418697
1,97,430347
1,97,418560
1,97,419010
1,97,418395
1,98,424487
1,98,421715
1,98,419204
1,98,419172
1,98,418366
1,98,431958
1,98,419810
1,98,418233
1,98,419401
1,98,439298
1,98,418999
1,98,420167
1,98,422283
1,98,419287
1,98,432454
1,98,441312
1,98,427788
1,98,418700
1,98,427104
1,98,418738
1,99,419893
1,99,418381
1,99,418908
1,99,418350
1,99,430030
1,99,422801
1,99,418527
1,99,418072
1,99,424593
1,99,418372
1,99,420037
1,99,418184
1,99,425368
1,99,460678
1,99,418643
1,99,419886
1,99,419102
1,99,419131
1,99,419087
1,99,418537
1,100,418415
1,100,418551
1,100,453127
1,100,440943
1,100,418614
1,100,418530
1,100,424697
1,100,419295
1,100,422147
1,100,442427
1,100,418473
1,100,419483
1,100,437729
1,100,418886
